start season,Sector,Square,Burrow Code,Type CODE,Unique Code,Latitude (N),Longitude (E),occ/sp2011,S/sp2011,occ/su2011,S/su2011,occ/au2011,S/au2011,occ/sp2012,S/sp2012,occ/su2012,S/su2012,occ/au2012,S/au2012,occ/sp2013,Alt(m),tree,bsland_OK,bscode_corrected,bscode_simple,bsland1_OK,bscode1_OK,Bscharact_all,Remark
sp2011,7934,RS11,15/22,B,7934sq11B15,45.6851344183,75.1702225115,3,283.5287369865,4,226.9800692219,4,153.9380400259,3,226.9800692219,4,176.7145867644,4,176.7145867644,4,343,1,alluvial,23C,4all,C,1236,1236C,changed from bs 15 to bs 22; alluvial; Meriones
sp2011,7934,RS11,12,B,7934sq11B12,45.6861562561,75.1693293359,4,254.4690049408,4,343.2189974047,4,346.3605900583,4,314.159265359,4,415.4756284373,4,415.4756284373,3,350,0,sand/dune,12LS,6sand,CD,1237,1237CD,Orient.- 70°; Meriones
sp2011,10512,RS2,22,B,10512sq2B22,45.2783272136,76.1856111232,4,659.7344572539,no data,no data,3,341.6482010779,4,414.6902302739,3,336.9358120975,2,172.7875959475,4,370,1,sand/dune,12HS,7sand,CDE,1237,1237CDE,Sand dune; Meriones
sp2011,7934,RS11,17,B,7934sq11B17,45.68431844,75.170555776,4,329.867228627,4,306.305283725,4,510.5088062084,4,541.1393345809,4,541.1393345809,4,753.9822368616,2,349,1,sand/dune,12HS,7sand,CDE,1237,1237CDE,Orient.- 230°
sp2011,7934,RS11,8,B,7934sq11B8,45.6848897506,75.1698131394,4,848.2300164693,4,376.9911184308,4,518.3627878424,4,735.1326809401,4,647.9534848029,4,1040.6525665017,4,351,1,sand/dune,12HS,7sand,CDE,1237,1237CDE,Orient.- 0°; sand
sp2011,7934,RS11,9,B,7934sq11B9,45.6855720375,75.1692254841,4,612.6105674501,4,224.6238747317,4,353.4291735289,4,530.1437602933,4,801.1061266655,4,201.0619298298,4,350,1,sand/dune,12HS,7sand,CDE,1237,1237CDE,Orient.- 345°
sp2011,10512,RS2,14,B,10512sq2B14,45.2786038164,76.184583921,4,754.767635025,4,132.7322896142,2,201.0619298298,2,283.5287369865,2,176.7145867644,4,113.0973355292,4,371,0,sand/dune,12HS,7sand,CDEF,1237,1237CDEF,Sand lots of wind; Meriones
sp2011,7934,RS14,1,B,7934sq14B1,45.6825343519,75.1548643503,4,254.4690049408,4,201.0619298298,4,283.5287369865,3,132.7322896142,4,132.7322896142,4,113.0973355292,4,347,1,sand/dune,12HS,7sand,DEF,1237,1237DEF,
sp2011,10512,RS6,17,B,10512sq6B17,45.3064491693,76.1573350243,1,301.5928947446,3,380.1327110844,2,176.7145867644,2,132.7322896142,0,0,0,0,1,375,0,sand/dune,124LS,2sand,CD,1238,1238CD,"old, large, but not many entrances; sand dune - Meriones; disappeared"
sp2011,10512,RS1,38,B,10512sq1B38,45.2811939921,76.1806514673,3,494.8008429404,4,216.7698930977,3,113.0973355292,4,190.0663555422,3,129.5906969606,3,241.9026343264,2,377,1,sand/dune,12HS,7sand,CDE,1238,1238CDE,"added in Sep2010 dataset, bs 38; not marked"
sp2011,10512,RS1,18,B,10512sq1B18,45.2822303306,76.1805091426,2,235.6194490193,2,120.1659189998,4,230.9070600389,4,314.159265359,2,285.8849314767,4,333.7942194439,4,375,1,sand/dune,12HS,7sand,CDE,1238,1238CDE,sand high occupancy
sp2011,7934,RS11,11,B,7934sq11B11,45.6859106664,75.1700517721,3,153.9380400259,4,254.4690049408,4,254.4690049408,3,490.8738521234,4,254.4690049408,4,226.9800692219,3,350,0,sand/dune,124LS,2sand,D,1238,1238D,sand
sp2011,11742,RS7,15,B,11742sqRS7B15,44.7567242291,76.4324232191,2,113.0973355292,3,153.9380400259,2,201.0619298298,2,153.9380400259,1,380.1327110844,1,254.4690049408,2,399,1,alluvial,23C,4all,C,123,123C,Meriones
sp2011,11742,RS7,6,B,11742sqRS7B6,44.7568518855,76.4317913074,2,102.1017612417,2,113.0973355292,3,153.1526418625,2,201.0619298298,1,283.5287369865,1,226.9800692219,2,399,0,alluvial,23C,4all,C,123,123C,
sp2011,11742,RS7,18,B,11742sqRS7B18,44.756897483,76.4327936992,2,113.0973355292,3,314.159265359,3,163.3628179867,2,153.9380400259,2,314.159265359,1,95.0331777711,2,396,0,alluvial,23C,4all,C,123,123C,
sp2011,11742,RS7,11,B,11742sqRS7B11,44.7582803294,76.4319599513,2,117.8097245096,2,226.9800692219,2,95.0331777711,2,113.0973355292,1,254.4690049408,0,0,2,399,0,alluvial,23C,4all,C,123,123C,disappeared
sp2011,10531,RS15,18,B,10531sq15B18,45.1091838442,76.0962899588,4,452.389342117,2,176.7145867644,2,0,2,132.7322896142,3,153.9380400259,1,282.7433388231,4,378,1,alluvial,23C,4all,C,123,123C,Meriones; filled in 25/2/2013
sp2011,10531,RS19,14,B,10531sq19B14,45.0986504741,76.0450704116,3,380.1327110844,2,113.0973355292,2,226.9800692219,1,254.4690049408,1,113.0973355292,3,283.5287369865,2,377,0,alluvial,23C,4all,C,123,123C,sand; also way and flooding
sp2011,10531,RS19,11,B,10531sq19B11,45.1000386849,76.0452631116,2,132.7322896142,2,95.0331777711,2,176.7145867644,1,153.9380400259,1,0,0,0,2,378,0,alluvial,23C,4all,C,123,123C,changed from bs 12 to bs 11
sp2011,7934,RS11,14,B,7934sq11B14,45.6854905654,75.1701790933,3,380.1327110844,4,314.159265359,3,132.7322896142,3,201.0619298298,4,226.9800692219,4,346.3605900583,4,342,0,alluvial,23C,4all,C,123,123C,
sp2011,7934,RS15,4,B,7934sq15B4,45.7102767751,75.1842834894,3,259.1813939212,3,113.0973355292,3,95.0331777711,2,415.4756284373,3,201.0619298298,3,176.7145867644,4,348,0,alluvial,23C,4all,C,123,123C,sand ; changed from bs 5 to bs 4 - Meriones
sp2011,10531,RS19,19,B,10531sq19B19,45.0996723119,76.0438923351,2,307.0906818884,2,254.4690049408,2,415.4756284373,1,176.7145867644,1,78.5398163398,0,0,2,377,1,alluvial/depression,23C,4all,CK,123,123CK,"dissapearing, sandy, fine sand"
sp2011,7934,RS15,1,B,7934sq15B1,45.7093690988,75.1841803081,4,415.4756284373,4,226.9800692219,4,346.3605900583,3,301.5928947446,4,314.159265359,4,283.5287369865,4,348,0,alluvial/depression,23C,4all,CK,123,123CK,Alluvial / Sand
sp2011,10512,RS1,13,B,10512sq1B13,45.2827299759,76.1800266802,4,439.8229715026,no data,no data,4,255.2544031042,4,316.5154598492,4,194.7787445226,4,241.9026343264,4,375,1,sand/dune,124HS,3sand,CDE,12468,12468CDE,Meriones 
sp2011,10512,RS5,25,B,10512sq5B25,45.3052057978,76.165110413,2,235.6194490193,2,95.0331777711,no data,no data,1,254.4690049408,1,0,0,0,1,377,0,sand/dune,124LS,2sand,CD,1247,1247CD,"added in Sep10,bs25; disappeared - Meriones"
sp2011,7934,RS16,21,B,7934sq16B21,45.7068992872,75.1818341296,4,549.7787143783,2,176.7145867644,2,347.1459882217,3,314.159265359,2,346.3605900583,2,251.3274122872,2,357,0,sand/dune,124LS,2sand,CD,1247,1247CD,
sp2011,10512,RS2,20,B,10512sq2B20,45.2787532657,76.1853118055,4,233.2632545291,2,219.9114857513,3,180.6415775814,3,113.0973355292,3,201.0619298298,3,120.1659189998,3,370,1,sand/dune,124HS,3sand,CDE,1247,1247CDE,sand dune;Orient.- 180°; Meriones
sp2011,10512,RS5,8,B,10512sq5B8,45.305578541,76.1650080699,2,440.608369666,4,254.4690049408,4,314.159265359,no data,no data,2,153.9380400259,4,415.4756284373,4,377,1,sand/dune,124HS,3sand,CDEF,1247,1247CDEF,Meriones
sp2011,7934,RS5,12,B,7934sq5B12,45.7019676268,75.1390652172,4,336.9358120975,3,129.5906969606,3,224.6238747317,2,282.7433388231,3,146.8694565553,4,283.5287369865,4,348,1,sand/dune,124HS,3sand,DE,1248,1248DE,Orient.- 0°; sand - Meriones
sp2011,7934,RS6,13,B,7934sq6B13,45.7048342377,75.1437917724,3,224.6238747317,2,141.3716694116,4,214.4136986075,1,201.0619298298,3,183.783170235,0,0,3,350,1,sand/dune,124HS,3sand,DE,1248,1248DE,Meriones
au2011,10531,RS14,12,B,10531sq14B12,45.106839,76.092698,no data,no data,no data,no data,2,245.04422698,2,138.230076758,no data,no data,0,0,2,388,0,alluvial,124C,5all,C,124,124C,sand; Meriones
sp2011,10531,RS21,13,B,10531sq21B13,45.1018151455,76.0413260479,4,578.0530482606,2,415.4756284373,3,307.0906818884,2,247.4004214702,2,254.4690049408,2,452.389342117,2,378,1,alluvial,124C,5all,C,124,124C,Meriones
sp2011,7934,RS15,25,B,7934sq15B25,45.7089382689,75.1823531371,4,660.5198554173,1,78.5398163398,no data,no data,4,530.9291584567,no data,no data,4,153.9380400259,4,350,0,alluvial,124C,5all,C,124,124C,alluvial - outside; Entrances (holes) of a burrow system disappeared
sp2011,7934,RS15,26,B,7934sq15B26,45.7092905603,75.181917781,3,351.8583772021,2,283.5287369865,3,176.7145867644,4,100.5309649149,no data,no data,3,201.0619298298,3,350,0,alluvial,124C,5all,C,124,124C,
sp2011,10512,RS4,4,B,10512sq4B4,45.3032273334,76.2053391058,4,252.898208614,3,188.4955592154,4,113.0973355292,3,346.3605900583,4,226.9800692219,4,245.04422698,4,373,0,alluvial,12C,6all,C,126,126C,
sp2011,10512,RS4,13,B,10512sq4B13,45.3035376314,76.2045297492,2,94.2477796077,2,153.9380400259,4,314.159265359,2,117.8097245096,1,113.0973355292,3,314.159265359,2,374,0,alluvial,12C,6all,C,126,126C,b14 changed to b13
sp2011,10512,RS4,6,B,10512sq4B6,45.3031960689,76.2059683353,3,254.4690049408,4,298.4513020911,4,201.0619298298,4,346.3605900583,4,226.9800692219,4,530.9291584567,3,376,0,sand/dune,12LS,6sand,CD,127,127CD,sand
sp2011,10512,RS4,8,B,10512sq4B8,45.3036666289,76.2057146989,3,333.7942194439,4,201.0619298298,2,113.0973355292,1,176.7145867644,2,113.0973355292,0,0,2,374,0,sand/dune,12LS,6sand,CD,127,127CD,sand/meriones occupied
